code1,code2
R04,S25
E56,R79
B94,F06
D57,M06
K13,Y36
D35,I71
F17,I82
N44,N50
A40,I33
E41,R04
G72,K81
I08,I65
E63,H10
Q99,T81
E72,F07
J93,K22
E03,F43
L57,N19
N27,R33
I82,K25
I09,J15
H54,R40
A51,A63
F60,M54
I44,K82
I87,J69
K56,M48
A39,K70
J70,T66
R30,T59
I67,R45
D69,M31
C24,J18
D61,R03
B85,R64
C24,R33
I79,W53
G43,J33
K20,L72
C12,J41
J18,M13
I40,T82
K60,R42
K26,K27
A80,K56
C96,D50
D50,N25
F48,R47
E40,R79
G93,K76
K80,Y89
A53,H93
C02,R29
M06,R53
A36,D62
C13,D64
I70,K02
A53,G83
G20,L50
K07,M15
B37,B38
I82,I85
M65,M93
J20,L94
H69,J69
I48,O87
P15,Q24
A52,J69
G83,T66
I35,K26
T31,T42
C06,J41
D48,I87
B02,T67
I45,M14
D86,G43
C77,M25
C82,M62
L03,T85
M79,R60
C05,E86
E27,I51
I13,M10
J04,T81
S44,T11
I74,R53
I84,R63
I21,J69
C63,J33
K29,S71
D45,I74
G63,L30
C50,C71
A27,F60
B96,N19
F42,L84
C91,D01
C38,T79
A07,S30
D02,N50
A42,B02
J30,Y44
E30,H54
D62,S52
D73,K30
L40,N00
E21,I50
K58,R63
B37,Q78
K22,Y85
C34,T48
F03,I51
B94,G91
R54,Y87
F48,K14
K28,R26
L74,Q27
M81,T42
M48,M85
G63,K31
J41,T73
H54,M12
H10,K00
H93,R43
B40,D09
E41,H26
B78,N17
F34,F43
I02,I50
J14,J64
B35,G04
C90,D51
J62,J86
C34,C67
B02,S30
H61,M21
I95,K86
C41,L03
G81,R78
A88,M25
G91,M95
B01,G03
D68,T45
I26,M10
I44,M48
M33,T42
R40,S70
I50,L84
D72,T28
D30,Q60
H25,I67
G24,M35
L90,M72
B19,S36
E14,K27
B87,L68
B37,J38
C50,E03
G45,H11
A53,T69
I43,J30
K26,Q43
F01,H10
A41,D07
I82,S82
I44,I45
I82,K83
D12,Q45
K90,P28
J32,S70
D62,I06
F10,K90
J34,J67
L51,M10
E41,M15
E65,L91
C15,C91
E03,K74
H65,M53
B71,H91
A20,J43
K04,K83
B65,K20
D34,E04
I12,Q63
I80,Q06
C00,N40
C90,D83
C92,T15
H10,H57
T68,Y55
A37,J98
B67,J41
C77,D37
C61,R59
H90,R32
G20,S80
J30,M71
I81,K90
M23,N32
B27,J45
D69,L85
M06,T39
I06,I97
I20,M93
H26,H28
I50,J42
B35,G95
D75,H90
R11,R60
I73,I99
L87,R13
E73,L21
H26,H90
I67,L72
I97,L29
H61,T13
H60,L82
R94,S10
B37,G63
C80,H05
D84,M31
J13,M60
K63,N63
O87,R64
F39,R32
I35,I69
E53,N26
D40,G57
A22,G91
H60,L01
H47,I08
L08,M70
H91,I21
G44,K76
I45,R53
I08,K56
R54,R94
I69,S10
K30,L29
A54,K92
E03,G32
J18,Q28
K25,Q40
L52,R21
H66,M35
E87,L84
A07,E78
A07,B78
D72,J69
G92,R53
C72,M79
I69,J96
B86,I83
G25,T38
C91,K03
D75,E22
K21,L30
A22,E23
M30,R94
E24,K63
D68,T17
J20,K83
H65,H83
C03,K08
E21,R57
E22,J02
D68,M86
S02,T69
K83,R53
D12,D61
B40,S51
D12,K38
F34,F68
C43,L66
C48,I80
E40,N45
J44,K12
A40,J02
K21,K31
K92,M19
K12,L10
M11,M93
G00,N04
N25,R31
C14,K29
F70,F90
D56,G45
C74,K59
F70,S05
S11,Y43
G93,I43
M95,R64
D07,M81
K92,M89
J32,K29
H30,I44
E40,K02
A21,H05
G30,L50
G56,K20
J47,R00
M06,M11
F20,K40
E14,I33
H10,M21
K14,R55
E06,F68
K56,Q05
A67,D75
G95,M40
D73,M54
J44,R44
I83,S00
A37,S52
E16,K27
A69,G43
B35,F50
G92,I05
A40,C53
E87,J42
F60,J20
F60,M94
I38,J98
F33,F65
G57,G61
A66,C43
D39,F63
G54,M89
J60,J86
K22,N20
C54,N64
J64,K29
L89,M61
I13,Q27
G00,K11
A25,I33
R07,R11
H02,N63
D59,J03
A88,I67
K51,K74
I09,K07
I80,K04
C48,K04
I78,T66
J43,K27
C77,L58
K00,M48
I10,J69
A40,J80
D81,D89
G56,Q71
M19,M23
N19,R54
G45,M40
N28,Y46
G56,M41
N40,O81
K07,L27
J96,T73
K92,T84
K67,M35
B59,D64
H04,H10
K22,Q89
K05,M89
B83,H16
H54,K25
B37,I27
C56,D20
D47,D64
E56,R27
D32,H50
E03,E83
K27,T28
B26,T85
J14,Y36
A57,I69
A41,D21
D64,M87
L70,L82
K20,S30
A19,B27
G82,L87
E05,E16
L03,S03
A88,D56
L53,R15
I51,K30
D13,L03
I95,M14
A42,N28
G92,T39
J15,T15
D14,Q30
B37,I45
J06,N34
I38,M06
I50,K06
H02,K05
J15,J47
A42,C71
D13,R70
L08,T13
M89,T38
C40,N73
D12,J41
A07,I73
K83,T39
D52,D53
G60,H91
D75,K58
H11,K50
G62,H10
A39,R79
C79,J18
D58,G82
C79,R33
E85,M32
H26,K58
D45,I84
F41,Y84
C15,R17
J44,W17
E26,F43
D14,J42
G70,M81
B02,H21
G12,J15
J98,M33
D59,E88
G30,S80
D72,H36
G60,R94
G50,K76
J41,T85
I12,R47
L85,R32
B02,I73
L93,T28
J14,R40
A79,I77
D65,I49
E27,J15
K03,X95
K20,M65
K86,R60
J43,Q43
R06,R51
F48,F65
J99,R94
B96,K40
B24,J69
D01,F10
B75,C79
B27,R07
C72,N36
G72,H02
D75,N17
I80,J14
E41,L27
D12,R21
H26,N17
I31,J99
R05,R07
R11,T27
F03,J15
D37,T85
I08,R20
N95,S10
B37,L44
C46,N28
Q03,R40
F20,P03
F03,O08
C66,D30
I01,S70
F60,Y43
K92,T56
C57,C78
D44,E06
G57,T87
F60,I78
M93,R31
I12,K14
D09,R53
N00,R09
K22,R71
G21,H10
I67,T67
I71,K26
J41,T75
D55,D58
J18,N28
B07,J96
G44,J31
G12,R13
G00,G45
C14,Y44
E67,K62
D27,N32
C49,O66
I99,K92
G95,J86
J32,Y44
D38,I30
M22,M77
A19,J96
Q04,Q05
E63,G20
E31,I30
G70,R06
N17,R44
J14,M12
L20,M19
H61,I10
C41,T66
C57,S15
H83,M19
H50,H83
D58,E40
L20,L29
G35,M54
I70,J62
D39,N83
G56,R64
E34,N20
G03,K11
J86,K22
C83,D69
F90,J44
I77,T87
J64,Y44
K52,K60
B55,H54
F03,R13
E87,S20
D69,G47
R29,R48
A01,S31
G47,L03
E83,L13
M32,M77
H91,K00
A59,G82
J00,K26
K25,L30
E88,H11
J44,L01
B35,R03
K61,T38
M06,N76
I30,I45
S00,S51
F45,T16
Q44,Q61
S41,S87
J14,Q33
R53,R64
E14,J02
G56,I80
B27,D47
E26,F68
K91,N83
R07,T51
K66,R63
N32,R11
E55,M62
K25,K31
C50,J45
H46,T14
I70,M75
J02,K11
D52,D58
N00,N27
I51,M54
B40,J39
G43,I65
L20,T84
G45,L57
D73,J20
A79,Y61
F70,N99
R20,R45
D69,G61
I69,R61
A41,D86
D71,E87
K63,N26
I42,M10
J98,R01
C13,D14
G60,I99
I95,L60
D45,N40
J98,Q31
D35,J32
J18,R19
C22,G60
D16,K04
H21,N19
B19,I20
D51,E40
C53,D69
K41,K59
C20,C80
C41,I26
A07,I95
G58,I70
I33,R55
K29,S73
C82,M25
D65,K10
L27,N82
C09,J03
H66,I71
D50,I27
N28,N71
D52,F91
F01,G20
B59,F52
H65,J00
F60,G72
J98,R27
J04,J12
F70,K26
I80,L30
C90,E86
S70,S77
A69,R20
I65,S30
D45,J01
K91,R32
A81,R26
G36,N39
C08,Q85
J96,T85
F50,J06
I74,K59
D04,K63
J15,T42
A53,I42
B48,I25
I80,K31
A41,J60
K22,L53
M93,Q76
I38,T82
A41,N51
H26,H50
C54,D05
I84,N17
F10,R18
C76,K85
D31,M23
H54,T68
H81,I06
K82,K85
M53,Q24
J85,Y64
E73,R78
M00,M06
E83,N00
M77,R51
E05,H61
G03,G45
E86,Q74
H33,I21
E28,M51
J31,J45
F07,M81
R17,R59
M15,T38
F60,L40
A67,R79
E72,R42
T58,T68
D50,L87
I74,N63
H90,J69
C67,D69
D50,J68
G24,I09
J45,T28
C19,R64
D61,G70
L27,T48
K65,R60
E16,J02
F90,N30
I73,I83
J39,S02
J96,T75
H91,M21
M79,T73
I98,S72
A02,I12
C61,T66
B35,Q75
E27,K07
K86,T69
E83,I15
D09,I02
E40,T79
E31,N32
I70,R23
J47,K90
K02,R31
A69,G52
F39,J69
H25,Q43
F10,Q84
C16,M15
J69,N36
N28,Q39
E26,E83
F91,I70
C19,I80
C55,K90
D61,K76
D69,T87
C91,H10
D73,I78
F40,H40
B40,H18
E55,K91
I95,Q39
D66,G93
G43,Q61
G71,N39
G52,I51
A02,K66
I61,J96
D71,R18
C78,K30
M81,N36
C15,J18
C15,R33
E21,M32
G51,L60
L57,T81
B42,E58
D58,I10
G91,J18
L08,L89
G91,R33
K92,N35
D64,N34
J13,Y84
A48,T85
N50,Y55
A98,I80
F33,N28
E87,F39
I25,N34
D47,K26
D64,F40
H05,H18
E20,J69
E56,G63
F60,R25
I86,J15
C80,J98
I73,K22
K85,L30
A17,H61
A08,K83
E41,K75
G35,J20
C22,D72
R06,S10
H26,M47
M06,R09
I45,K59
I15,I78
D68,Q87
D33,I62
A67,E14
K92,T46
F48,P76
I40,L60
E86,R12
N62,N64
B00,D18
D45,F34
C11,R53
K29,T47
E63,K01
G41,R18
C11,C77
G92,K59
E88,I69
D57,D59
A03,M76
I87,R42
A41,B01
D68,K63
E85,I40
F20,H90
I70,S49
D07,L04
G45,I20
K35,N73
E40,G63
T51,T52
I12,M13
K35,R57
C34,N19
G43,M30
E07,F33
I42,Q27
I69,L21
F50,R44
R11,T73
A19,R61
I28,I37
C95,D69
E41,I70
K21,O00
N76,R11
B02,T39
F06,G93
I45,N63
D62,Y46
N20,O44
G37,I38
D65,J93
D58,L89
I51,J20
K31,T87
N20,N40
A53,H47
D50,G23
D73,I81
D52,I26
E85,N03
R20,S34
A42,J45
