umls	mesh	icd10	level_2_icd10
C0555345	D064386	S82.5	S82
C0022680	D007690	Q61.3	Q61
C0085220	D016657	I68.0	I68
C0026613	D019957	F82	F82
C0078982	D016142	Q04.1	Q04
C0086873	D000505	L66.0	L66
C0027877	D009472	E75.4	E75
C0016034	D005348	N60.1	N60
C0021603	D007319	G47.0	G47
C0038986	D013543	L74|L74.9	L74
C0030517	D010279	E21.5	E21
C0011999	D009436	Q06.2	Q06
C0005716	D001759	B40|B40.9	B40
C0024419	D008258	C88.0	C88
C0263313	D010392	L10.2	L10
C0012715	D019189	E83.1	E83
C0079683	D016109	Q81.1	Q81
C0009663	D003218	A63.0	A63
C0162823	D017453	L24|L24.9	L24
C0034362	D011778	A78	A78
C0022661	D007676	N18|N18.0|N18.9	N18
C0020517	D006967	T78.4	T78
C0008031	D002637	R07.4	R07
C0032064	D010930	A20|A20.9	A20
C0338483	D020325	G43.3	G43
C0015634	D005203	J67.0	J67
C0015306	D005097	Q78.6	Q78
C0011311	D003715	A90	A90
C0019360	D006562	B02	B02
C0741160	D001019	I71.8	I71
C0151827	D058447	H57.1	H57
C0011263	D015161	F01.1	F01
C0432357	C562989	Q83.0	Q83
C0149931	D008881	G43|G43.9	G43
C0026936	D009175	A49.3	A49
C0034152	D011695	D69.0	D69
C0271815	D050032	O90.5	O90
C0034543	D011842	K04.8	K04
C0035021	D012061	A68|A68.9	A68
C0023309	D007906	H27.1	H27
C0014457	D004802	D72.1	D72
C0023892	D008105	K74.5	K74
C0238265	D054319	G37.1	G37
C0035436	D012213	I00-I02.9	I00-I02
C0079541	D016142	Q04.2	Q04
C0032533	D011111	M35.3	M35
C0033575	D011469	N42.9	N42
C0009917	D003286	M62.4	M62
C0009400	D003121	A93.2	A93
C0014511	D004814	L72.0	L72
C0015644	D005207	R25.3	R25
C0034933	D012021	R29.2	R29
C0338596	D002547	G80.0	G80
C0270871	D005155	G51.4	G51
C0079924	D016104	O41.0	O41
C0848558	D007021	Q54|Q54.9	Q54
C0039730	D013789	D56|D56.9	D56
C0020555	D006983	L68|L68.3|L68.9	L68
C0080274	D016055	R33	R33
C0003862	D018771	M25.5	M25
C0006625	D002100	R64	R64
C0042961	D045822	K56.2	K56
C0027888	D015417	G60.0	G60
C0264134	D020859	M20.2	M20
C0015696	D005235	K70.0	K70
C0043541	D020096	B46|B46.9	B46
C0153381	D009062	C06.9	C06
C0263409	D012594	L94.1	L94
C0265931	D000083402	Q26.1	Q26
C0005741	D001762	H01.0|H01.9	H01
C0035222	D012128	J80	J80
C0152426	D009436	Q00.1	Q00
C0005689	D001746	Q64.1	Q64
C0015802	D005264	S72|S72.9	S72
