umls	icd9cm	icd10	3_digit_icd9cm	level_2_icd10
C0002945	442.8	I72.8	442	I72
C0348903	099.52	A56.3	099	A56
C0155808	461.8	J01.8	461	J01
C0276682	771.7	P37.5	771	P37
C0701163	255.2	E25|E25.9	255	E25
C0029790	525.8	K08.8	525	K08
C0005138	503	J63.2	503	J63
C0155472	385|385.8|385.89	H74	385	H74
C0477355	333.90	G20-G26.9|G25.9	333	G20-G26|G25
C0158729	754.7|754.79	Q66.8	754	Q66
C0152245	788.8	R39.0	788	R39
C0156362	620.3	N83.3	620	N83
C1384666	389|389.9	H91.9	389	H91
C0025235	351.8	G51.2	351	G51
C0153421	151.4	C16.2	151	C16
C0919833	066.3	B33.1	066	B33
C0161689	982.2	T65.4	982	T65
C0149931	346|346.9	G43|G43.9	346	G43
C0278729	233.32	D07.1	233	D07
C0032993	645.1|645.2	O48	645	O48
C0405578	253.0	E22.0	253	E22
C0004712	341.1	G37.5	341	G37
C0158997	776.7	P61.5	776	P61
C0392502	534.7	K28.7	534	K28
C0269220	624.8	N90.7	624	N90
C0152998	045.2|045.20	A80.4	045	A80
C2910173	750	Q40	750	Q40
C0260750	V53.4	Z46.4	V53	Z46
C0039128	097.9	A53.9	097	A53
C0261547	873.3	Y63.3	873	Y63
C0160988	928.01	S77.0	928	S77
C0032064	020|020.9	A20|A20.9	020	A20
C0375155	283.19	D59.4	283	D59
C0161619	973.9	T47.9	973	T47
C0158775	756.1|756.10	Q67.5	756	Q67
C0018808	785.2	R01.1	785	R01
C0026780	072|072.9	B26	072	B26
C0269972	674.5	O90.3	674	O90
C0012736	441|441.0	I71	441	I71
C0260512	V16.6	Z80.6	V16	Z80
C1302325	355.4	G57.4	355	G57
C0029888	382|382.4	H66|H66.4	382	H66
C0497074	942.9	Y52.9	942	Y52
C0496941	237.4	D44.0	237	D44
C0154229	263.2	E45	263	E45
C0477903	767.8	P15.8	767	P15
C0267493	569.89	K63.4	569	K63
C0267018	528.9	K13.6	528	K13
C0037933	724.9	M45-M49.9|M48.9	724	M45-M49|M48
C0151620	437.2	I67.4	437	I67
C0154065	230.7	D01.4	230	D01
C0261533	872|872.0	Y62.0	872	Y62
C0153675	197	C78	197	C78
C0152073	123.2	B68.1	123	B68
C0038054	579.1	K90.1	579	K90
C0348719	521.09	K02.8	521	K02
C0040262	111.0	B36.0	111	B36
C0036420	701.0	L94.0	701	L94
C0154054	229.0	D36.0	229	D36
